date_utc,script,condition,take,wearer_wer,wearer_words,asr_errors,reader_deviations,notes
2026-07-11,B,quiet,1,0.0,91,0,0,"Harvard set 1 + slate; verbatim incl. slate"
2026-07-12,A,tv,1,0.0,183,0,1,"Rainbow Passage over The Good Wife on iPad ~3m, volume slightly above conversational; reader inserted one word (reference amended per method); TV dialogue transcribed and attributed to Speakers 1/3 as if present; wearer labeled Speaker 2"
2026-07-12,C,quiet,1,0.031,127,4,2,"numbers/names/jargon; numeric normalization 100% incl. IP as dotted quad; 4 proper-noun spelling subs (OpenSense/Mrs./Okuoko/ARIS); self-correction transcribed verbatim; reader said received-for-reviewed + one stumble (reference amended)"
2026-07-13,preamble,walk-lanyard-calm,1,NA,,,,"field/outdoor; reader recited from memory (no clean ground truth) -> qualitative only; coherent, reader-truncated"
2026-07-13,preamble,walk-lanyard-windy,2,NA,,,,"qualitative; full, coherent"
2026-07-13,preamble,walk-undershirt-breeze,3,NA,,,,"qualitative; full, clean"
2026-07-13,preamble,scooter-undershirt,4,NA,,,,"qualitative; jumbled (reader recitation while riding), words intelligible"
2026-07-13,preamble,scooter-helmet,5,NA,,,,"qualitative; full, clean, complete - best moving condition"
2026-07-13,preamble,scooter-helmet-lowspeed,6,NA,,,,"qualitative; full, clean, complete"
